1924912092_392432752156364801 x	Now following@omarbashir300
1924912092_394166375159447552 x	I'm hungry again lol
1924912092_394166187816660992 x	I got a new kitty finally lol
1924912092_394166071579934720 x	About to to meet up with my boy so we can hang out for a while
1924912092_394098212682076160 x	Then go to the store from there
1924912092_394098115223232512 x	Waiting to go get this kitty
1924912092_394088218540658688 x	Up early as always smh
1924912092_393902365864370176 x	It's really cold outside yo
1924912092_393883276118466562 x	I'm off
1924912092_393877693730541568 x	Watching music videos
1924912092_393839491603234816 x	Feels good to rest
1924912092_393822483855724544 x	Now following@Sxcymazy123
1924912092_393819558123175936 x	RT @MeekMill: The world is yours and everything in it. You gone go get it? #DC3 http://t.co/K13y8WIlWO http://t.co/rvh1PYHnZx
1924912092_393795283945275392 x	Now following@AshleeMillerjuy
1924912092_393738435011559424 x	RT @VampireDiarieCW: It Was Meant To Be A Cry Fest.. RT @TeamBaezaLuv: Is it bad that tonight's episode of @VampireDiarieCW  made me cry?
1924912092_393737926133415936 x	My back is so hurting right now but I'm use to it and besides it's Friday/ the weekend and I'm still going to enjoy my day no matter what
1924912092_393549171091046400 x	I ready can tell that I will be going to sleep late ugh
1924912092_393543697935388672 x	RT @BrandonOvSheff: If they really miss you, they'll make the effort.
1924912092_393539887204675584 x	Wish I could concentrate but I can't ugh
1924912092_393527479228710912 x	It's on lol
1924912092_393522857218965504 x	RT @HelloCupkake: My life isn't going to end just because you chose not to be a part of it.
1924912092_393522112344113152 x	RT @BrandonOvSheff: You gotta fight for what you want.
1924912092_393522088600162305 x	RT @BrandonOvSheff: Learn from yesterday, live for today, and pray for tomorrow.
1924912092_393521455738400768 x	RT @BrandonOvSheff: Be real with me or leave me alone.
1924912092_393521420753707008 x	RT @BrandonOvSheff: I don't hold grudges, I just won't fuck with you.
1924912092_393521359344902144 x	RT @BrandonOvSheff: I can't live a day without music.
1924912092_393521332534935552 x	RT @BrandonOvSheff: A relationship with no arguments, is a relationship with a lot of secrets.
1924912092_393521303720054784 x	RT @BrandonOvSheff: Sometimes you have to go through the hard times to realize how strong you are.
1924912092_393520840564035585 x	RT @cwbatb: Is Gabe getting a little too close to Cat? #BATB is all new Monday! http://t.co/qdNLm2HfCk
1924912092_393512514841243648 x	8 O clock hurry up
1924912092_393511775351898112 x	Ard I'm going to cut it out now
1924912092_393511593428144128 x	I'm just expressing my feelings
1924912092_393511450863734784 x	Lol I'm doing to much sike naw I lied
1924912092_393511268432506880 x	His lips make me want him more   His hugs makes me want to hug him even more When we cuddle it makes want to fall asleep
1924912092_393510226114383872 x	I love to see him smile
1924912092_393510043536330753 x	Weekend time lol
1924912092_393509973768294400 x	Can't believe tomorrow's Friday
1924912092_393509753055633408 x	What a day
1924912092_393441561922793472 x	RT @HelloCupkake: I am me. I am not willing to change for you, or anyone else. Take me as I am, or watch me as I go
1924912092_393441401398370304 x	RT @Ludacris: HAPPY BDAY TO MY CUZ @monicabrown WHO I ALWAYS TEASE WAS BORN A GROWN ASS WOMAN! LOL I LOVE YOU! http://t.co/tL2RnE67Rj
1924912092_393441335082229760 x	Now following@Diorworldwide
1924912092_393342490000232449 x	Good luck today sissy@LoyaltyIsMe_D
1924912092_393386455927906304 x	@LoyaltyIsMe_D your welcome
1924912092_393383822022418433 x	RT @LoyaltyIsMe_D: Up thinking about this Dr. appointment later. I'm scared but I have my angels with me!
1924912092_393381425724289024 x	Now following  @Haworthbpd
1924912092_393342923036983296 x	But that's not who I am so why bother
1924912092_393342726206656513 x	I just need a little more sleep then I will be all good
1924912092_393341992442531840 x	RT @tupacsqueeen: She an independent queen working for her own.
1924912092_393188389362884608 x	RT @Garcia_BAU: This just became a nightmare.
1924912092_393187137530896385 x	RT @cwtp: RETWEET if you're loving #TheTomorrowPeople!
1924912092_393183572196352001 x	RT @adewale: Chatting villains #Thorthedarkworld @Marvel http://t.co/78sxcjL5BH
1924912092_393183434786762752 x	Waiting for him to come??!!!
1924912092_393183117835796480 x	Awesome lol but I was for real"@ArrowTheCw: What did you guys think of tonight episode? #Arrow"
1924912092_393176546141544448 x	RT @EmilyBett: just dont blink, go to the bathroom, or turn your tv off until 9pm #Arrow #TheTomorrowPeople #inhaleexhale
1924912092_393176253999894528 x	Mmmh I can't wait yo
1924912092_393175979126165504 x	Body party
1924912092_393162018905415681 x	Now following@RudolphLayawx
1924912092_393154207400091648 x	@Kerm_Guapske is that from a song
1924912092_393154104522207232 x	RT @Kerm_Guapske: All I Wanna Say Is That They Never Really Care ABout Us!
1924912092_393152582509932544 x	Chilling thinking about getting on my laptop soon idk
1924912092_393109619641688064 x	Bout to eat after what seems to be a long day
1924912092_392980180303872000 x	Today is not my day ugh oh well tho
1924912092_392819636179578881 x	We sure will boo just have to stick together as a team love you much boop good night??!! @LoyaltyIsMe_D
1924912092_392825442706935808 x	@LoyaltyIsMe_D ??
1924912092_392825403691520001 x	RT @LoyaltyIsMe_D: Goodnight sis. Text u when I wake up tomorrow @nbaker215729
1924912092_392819334835617792 x	RT @LoyaltyIsMe_D: Love my sissy. We gonna get thru this cold world together:-) @nbaker215729
1924912092_392812472773926915 x	I'm thinking of going somewhere  and getting a drink that's what I need
1924912092_392810515615203328 x	I would like a day of fun where I can just go out and enjoy myself
1924912092_392808607013957632 x	RT @ImThalia_21: Trying to get back to I use to be !
1924912092_392804085880995840 x	Why????????
1924912092_392795891444109312 x	Can't wait until that movie comes out cause I'm on that lol!@Ludacris @52BLOCK
1924912092_392795664582598656 x	RT @Ludacris: Haters start your engines. Me & @52block bout to take 52 Blocks WORLD FUCKIN WIDE!!! http://t.co/I3Oz4CfsXv
1924912092_392794475308658689 x	I think I can i think I can I think I can yes I can do it
1924912092_392786172340350976 x	Now following@LS_FollwsBack
1924912092_392786008305336320 x	Now following@Kerm_Guapske
1924912092_392760708221665280 x	I'm done as of today
1924912092_392759999682076673 x	I do a lot of thinking now days that shit got to stop
1924912092_392731595028697088 x	It's not worth trying to be friends with someone who doesn't care
1924912092_392730771145756672 x	Now Following@Meghanmxq
1924912092_392430151809507328 x	Loving me whether people like it or not cause I won't change for no one
1924912092_392424756051333121 x	Now following@Varendvoel
1924912092_392424440207663105 x	Now following@ZachZ15
1924912092_392424132458975232 x	Now following@KingAlexLive
1924912092_392386793217462272 x	I need a dryer in my life
1924912092_392384832497803265 x	About to eat in a hour
1924912092_392384511327354880 x	RT @ImThalia_21: After I eat it's time to do homework!
1924912092_392370014541840384 x	Hey@LoyaltyIsMe_D
1924912092_392369915069755392 x	RT @LoyaltyIsMe_D: Hi @nbaker215729
1924912092_392369551914303489 x	Outside flow with Su
1924912092_392366307431428096 x	My niece made me this beautiful ring so I will wear everyday like it's real check out the nail art nice!! http://t.co/qbJ1axF4Wp
1924912092_392365692139606016 x	Thinking a lot on my mind
1924912092_392112900401545216 x	Good night boop @LoyaltyIsMe_D
1924912092_392112696944242689 x	RT @LoyaltyIsMe_D: Gn boop @nbaker215729
1924912092_392099557909082113 x	i guess so
1924912092_392082604884631552 x	irrtated
1924912092_391740723713699840 x	thinking
1924912092_391723816285511680 x	Irritated now
1924912092_391722719957368833 x	I need to go out next weekend
1924912092_391710941551034368 x	Home and tired like always
1924912092_391705680497086464 x	Now following the one of the best@DrizzyTheTypee
1924912092_391689974850260992 x	Omw home with my babies
1924912092_391653706670043137 x	Now following@WXavierM
1924912092_391643217588133888 x	Day didn't turn out like I planned it to however a day with my three babies is the best an Aunt could ask for ??!!!
1924912092_391572990494007296 x	Now following@ITSNICKLEVI
1924912092_391572588205707265 x	RT @ImThalia_21: Good morning,  I'm up !
1924912092_391562416292896769 x	Up jamin
1924912092_391562366284214272 x	I like the way she moves
1924912092_391401220327604224 x	Off of here until further notice lol
1924912092_391398475818344448 x	RT @LoyaltyIsMe_D: Braids out... hair washed... Nite nite
1924912092_391394561781923840 x	Man of Steal
1924912092_391387396262346752 x	With him!!!
1924912092_391386119931445249 x	Now following@Nicolearcham
1924912092_391379424589127681 x	RT @Iifepost: Everyone makes mistakes. The important thing is that you learn from them and don't repeat them.
1924912092_391379343471292416 x	Watching a movie with my mommy love my lady???!!!
1924912092_391371119099650048 x	Finally he started listening to me lol
1924912092_391358774289899520 x	Now following@Arab_Money305
1924912092_391351270680047616 x	Now following@relientkenny
1924912092_391350343113900032 x	Family is all you need
1924912092_391349443624439808 x	RT @Iifepost: Be the change you want to see in the world.
1924912092_391336934377021440 x	Now following@yourstrulyjdot
1924912092_391317564301012993 x	Seafood dinner with cheese broccoli yay thanks mom lol
1924912092_391286166735290368 x	You see right do me how do you do that ish
1924912092_391164610621218816 x	Good morning
1924912092_390999225066356736 x	Now following@iRicoSWaGG
1924912092_390999102512979968 x	Now following@SBsuperhigh
1924912092_390997564268748800 x	Now following@SmileyStar_
1924912092_390994391432974336 x	Now following@Cloposts
1924912092_390994298499784704 x	Now following@JasonMata1
1924912092_390988706263605248 x	Ugh I have a headache
1924912092_390988453594537984 x	Now following@jcross913
1924912092_390984867179429889 x	Now following@BrandonOvSheff
1924912092_390981794465845248 x	Now following@deucechannel
1924912092_390981662643073024 x	Now following@xiam007
1924912092_390975836532518913 x	Now following@iQuePibee
1924912092_390968663177965569 x	Now following@StefanMeegan
